#type,x,y,z,radius
0,-1.0,-1.0,-1.0,0.2752880921895006
0,-1.0,-1.0,1.0,0.2752880921895006
0,-1.0,0.0,0.0,0.2752880921895006
0,-1.0,1.0,-1.0,0.2752880921895006
0,-1.0,1.0,1.0,0.2752880921895006
0,0.0,-1.0,0.0,0.2752880921895006
0,0.0,0.0,-1.0,0.2752880921895006
0,0.0,0.0,1.0,0.2752880921895006
0,0.0,1.0,0.0,0.2752880921895006
0,1.0,-1.0,-1.0,0.2752880921895006
0,1.0,-1.0,1.0,0.2752880921895006
0,1.0,0.0,0.0,0.2752880921895006
0,1.0,1.0,-1.0,0.2752880921895006
0,1.0,1.0,1.0,0.2752880921895006
0,-1.0,-1.0,0.0,0.1882202304737516
0,-1.0,0.0,-1.0,0.1882202304737516
0,-1.0,0.0,1.0,0.1882202304737516
0,-1.0,1.0,0.0,0.1882202304737516
0,0.0,-1.0,-1.0,0.1882202304737516
0,0.0,-1.0,1.0,0.1882202304737516
0,0.0,0.0,0.0,0.1882202304737516
0,0.0,1.0,-1.0,0.1882202304737516
0,0.0,1.0,1.0,0.1882202304737516
0,1.0,-1.0,0.0,0.1882202304737516
0,1.0,0.0,-1.0,0.1882202304737516
0,1.0,0.0,1.0,0.1882202304737516
0,1.0,1.0,0.0,0.1882202304737516
#type,x,y,z,axis,length
1,-1.0,-1.0,-1.0,0
1,-1.0,-1.0,-1.0,1
1,-1.0,-1.0,-1.0,2
1,-1.0,-1.0,0.0,0
1,-1.0,-1.0,0.0,1
1,-1.0,-1.0,0.0,2
1,-1.0,-1.0,1.0,0
1,-1.0,-1.0,1.0,1
1,-1.0,0.0,-1.0,0
1,-1.0,0.0,-1.0,1
1,-1.0,0.0,-1.0,2
1,-1.0,0.0,0.0,0
1,-1.0,0.0,0.0,1
1,-1.0,0.0,0.0,2
1,-1.0,0.0,1.0,0
1,-1.0,0.0,1.0,1
1,-1.0,1.0,-1.0,0
1,-1.0,1.0,-1.0,2
1,-1.0,1.0,0.0,0
1,-1.0,1.0,0.0,2
1,-1.0,1.0,1.0,0
1,0.0,-1.0,-1.0,0
1,0.0,-1.0,-1.0,1
1,0.0,-1.0,-1.0,2
1,0.0,-1.0,0.0,0
1,0.0,-1.0,0.0,1
1,0.0,-1.0,0.0,2
1,0.0,-1.0,1.0,0
1,0.0,-1.0,1.0,1
1,0.0,0.0,-1.0,0
1,0.0,0.0,-1.0,1
1,0.0,0.0,-1.0,2
1,0.0,0.0,0.0,0
1,0.0,0.0,0.0,1
1,0.0,0.0,0.0,2
1,0.0,0.0,1.0,0
1,0.0,0.0,1.0,1
1,0.0,1.0,-1.0,0
1,0.0,1.0,-1.0,2
1,0.0,1.0,0.0,0
1,0.0,1.0,0.0,2
1,0.0,1.0,1.0,0
1,1.0,-1.0,-1.0,1
1,1.0,-1.0,-1.0,2
1,1.0,-1.0,0.0,1
1,1.0,-1.0,0.0,2
1,1.0,-1.0,1.0,1
1,1.0,0.0,-1.0,1
1,1.0,0.0,-1.0,2
1,1.0,0.0,0.0,1
1,1.0,0.0,0.0,2
1,1.0,0.0,1.0,1
1,1.0,1.0,-1.0,2
1,1.0,1.0,0.0,2
