type,x,y,z,axis,length
1,-1.0,-1.0,-1.0,0,0.01
1,-1.0,-1.0,-1.0,1,0.01
1,-1.0,-1.0,-1.0,2,0.01
1,-1.0,-1.0,0.0,0,0.01
1,-1.0,-1.0,0.0,1,0.01
1,-1.0,-1.0,0.0,2,0.01
1,-1.0,-1.0,1.0,0,0.01
1,-1.0,-1.0,1.0,1,0.01
1,-1.0,0.0,-1.0,0,0.01
1,-1.0,0.0,-1.0,1,0.01
1,-1.0,0.0,-1.0,2,0.01
1,-1.0,0.0,0.0,0,0.01
1,-1.0,0.0,0.0,1,0.01
1,-1.0,0.0,0.0,2,0.01
1,-1.0,0.0,1.0,0,0.01
1,-1.0,0.0,1.0,1,0.01
1,-1.0,1.0,-1.0,0,0.01
1,-1.0,1.0,-1.0,2,0.01
1,-1.0,1.0,0.0,0,0.01
1,-1.0,1.0,0.0,2,0.01
1,-1.0,1.0,1.0,0,0.01
1,0.0,-1.0,-1.0,0,0.01
1,0.0,-1.0,-1.0,1,0.01
1,0.0,-1.0,-1.0,2,0.01
1,0.0,-1.0,0.0,0,0.01
1,0.0,-1.0,0.0,1,0.01
1,0.0,-1.0,0.0,2,0.01
1,0.0,-1.0,1.0,0,0.01
1,0.0,-1.0,1.0,1,0.01
1,0.0,0.0,-1.0,0,0.01
1,0.0,0.0,-1.0,1,0.01
1,0.0,0.0,-1.0,2,0.01
1,0.0,0.0,0.0,0,0.01
1,0.0,0.0,0.0,1,0.01
1,0.0,0.0,0.0,2,0.01
1,0.0,0.0,1.0,0,0.01
1,0.0,0.0,1.0,1,0.01
1,0.0,1.0,-1.0,0,0.01
1,0.0,1.0,-1.0,2,0.01
1,0.0,1.0,0.0,0,0.01
1,0.0,1.0,0.0,2,0.01
1,0.0,1.0,1.0,0,0.01
1,1.0,-1.0,-1.0,1,0.01
1,1.0,-1.0,-1.0,2,0.01
1,1.0,-1.0,0.0,1,0.01
1,1.0,-1.0,0.0,2,0.01
1,1.0,-1.0,1.0,1,0.01
1,1.0,0.0,-1.0,1,0.01
1,1.0,0.0,-1.0,2,0.01
1,1.0,0.0,0.0,1,0.01
1,1.0,0.0,0.0,2,0.01
1,1.0,0.0,1.0,1,0.01
1,1.0,1.0,-1.0,2,0.01
1,1.0,1.0,0.0,2,0.01
